Dataset,Model,Delta,Baseline_MSE,Baseline_MAE,Add_MSE,Add_MAE,Imp_Add(%),Mul_MSE,Mul_MAE,Imp_Mul(%),Affine_MSE,Affine_MAE,Imp_Affine(%),Affine-Norm_MSE,Affine-Norm_MAE,Imp_Affine-Norm(%)
ETTh1,iTransformer,0.01,0.465293,0.468796,0.4617,0.4666,0.77%,0.4619,0.4671,0.73%,0.4593,0.4652,1.29%,0.456,0.4637,2.00%
ETTh1,Autoformer,0.01,0.613481,0.56039,0.6084,0.5574,0.83%,0.6109,0.5586,0.42%,0.6018,0.5541,1.90%,0.5852,0.5457,4.61%
ETTh1,FreTS,0.01,0.485526,0.485839,0.4824,0.4839,0.64%,0.4838,0.4854,0.36%,0.482,0.4835,0.73%,0.4732,0.4785,2.54%
ETTh1,FourierGNN,0.01,0.916312,0.697356,0.9029,0.6911,1.46%,0.9097,0.6943,0.72%,0.8707,0.6778,4.98%,0.8245,0.6571,10.02%
ETTh2,iTransformer,0.01,0.191362,0.299239,0.1899,0.2978,0.76%,0.19,0.2983,0.71%,0.192,0.3027,-0.33%,0.1891,0.2973,1.18%
ETTh2,Autoformer,0.01,0.210057,0.314962,0.2075,0.3122,1.22%,0.2084,0.3137,0.79%,0.2092,0.3171,0.41%,0.2039,0.3099,2.93%
ETTh2,FreTS,0.01,0.192594,0.30443,0.1916,0.3037,0.52%,0.1925,0.3042,0.05%,0.1955,0.3085,-1.51%,0.1889,0.2989,1.92%
ETTh2,FourierGNN,0.01,0.320829,0.406233,0.3147,0.4016,1.91%,0.3165,0.4026,1.35%,0.2894,0.3914,9.80%,0.2808,0.3808,12.48%
ETTm1,iTransformer,0.01,0.375998,0.408549,0.3743,0.4072,0.45%,0.3751,0.4081,0.24%,0.3727,0.4068,0.88%,0.3736,0.4105,0.64%
ETTm1,Autoformer,0.01,0.58457,0.543757,0.5707,0.5376,2.37%,0.5706,0.5391,2.39%,0.5293,0.5149,9.45%,0.5073,0.5008,13.22%
ETTm1,FreTS,0.01,0.373532,0.40728,0.3704,0.4045,0.84%,0.3726,0.4067,0.25%,0.3614,0.3981,3.25%,0.3676,0.4065,1.59%
ETTm1,FourierGNN,0.01,0.534045,0.511511,0.5244,0.506,1.81%,0.5276,0.5086,1.21%,0.48,0.4856,10.12%,0.4509,0.4681,15.57%
ETTm2,iTransformer,0.01,0.123514,0.239978,0.1212,0.2371,1.87%,0.1221,0.2385,1.14%,0.1191,0.2385,3.57%,0.1144,0.2297,7.38%
ETTm2,Autoformer,0.01,0.152752,0.272862,0.1506,0.2711,1.41%,0.1513,0.2722,0.95%,0.1466,0.2725,4.03%,0.126,0.2442,17.51%
ETTm2,FreTS,0.01,0.128038,0.247597,0.1262,0.245,1.44%,0.1265,0.2457,1.20%,0.1227,0.2439,4.17%,0.115,0.232,10.18%
ETTm2,FourierGNN,0.01,0.152351,0.276919,0.1493,0.2739,2.00%,0.1511,0.2771,0.82%,0.1486,0.2768,2.46%,0.1251,0.2477,17.89%
