Dataset,Model,Delta,Baseline_MSE,Baseline_MAE,Ada_MSE,Ada_MAE,Improvement_MSE(%
ETTh1,iTransformer,0.01,0.465293,0.468796,0.461526,0.466473,0.81%
ETTh1,Autoformer,0.01,0.613481,0.56039,0.607791,0.556975,0.93%
ETTh1,FreTS,0.01,0.485526,0.485839,0.481922,0.483525,0.74%
ETTh1,FourierGNN,0.01,0.916312,0.697356,0.901071,0.690015,1.66%
ETTh2,iTransformer,0.01,0.191362,0.299239,0.19021,0.298213,0.60%
ETTh2,Autoformer,0.01,0.210057,0.314962,0.207644,0.31238,1.15%
ETTh2,FreTS,0.01,0.192594,0.30443,0.190702,0.302662,0.98%
ETTh2,FourierGNN,0.01,0.320829,0.406233,0.312624,0.400072,2.56%
ETTm1,iTransformer,0.01,0.375998,0.408549,0.370517,0.404215,1.46%
ETTm1,Autoformer,0.01,0.58457,0.543757,0.56777,0.536052,2.87%
ETTm1,FreTS,0.01,0.373532,0.40728,0.369053,0.403281,1.20%
ETTm1,FourierGNN,0.01,0.534045,0.511511,0.519685,0.503245,2.69%
ETTm2,iTransformer,0.01,0.123514,0.239978,0.120855,0.236678,2.15%
ETTm2,Autoformer,0.01,0.152752,0.272862,0.149705,0.269976,1.99%
ETTm2,FreTS,0.01,0.128038,0.247597,0.125011,0.243484,2.36%
ETTm2,FourierGNN,0.01,0.152351,0.276919,0.146176,0.27008,4.05%
